状态栈		符号栈		输入		动作
0,		$,		{	移入到1
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,53,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,term,		>	 归约60
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,		>	移入到102
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,102,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,>,		id	移入到152
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,102,152,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,>,id,		*	 归约159
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,102,159,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,>,loc,		*	 归约158
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,102,158,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,>,factor,		*	 归约160
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,102,160,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,>,unary,		*	 归约157
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,102,157,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,>,term,		*	移入到214
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,102,157,214,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,>,term,*,		id	移入到152
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,102,157,214,152,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,>,term,*,id,		)	 归约159
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,102,157,214,159,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,>,term,*,loc,		)	 归约158
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,102,157,214,158,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,>,term,*,factor,		)	 归约244
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,102,157,214,244,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,>,term,*,unary,		)	 归约157
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,102,157,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,>,term,		)	 归约162
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,60,102,162,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,expr,>,expr,		)	 归约58
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,58,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,rel,		)	 归约143
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,143,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,equality,		)	 归约140
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,		)	 归约52
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,		)	移入到91
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),		{	移入到136
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,		do	 归约207
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,		do	 归约240
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,		do	移入到9
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,		{	移入到25
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,91,136,207,240,9,25,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,),{,decls,stmts,do,{,		basic	 归约41
